SampleID,Colony,Treatment,timepoint,weight,WingAvgmm
HW077,WP8,PS6d,0,0.4036,3.6
HW077,WP8,PS6d,3,0.3354,3.6
HW077,WP8,PS6d,6,0.4081,3.6
HW077,WP8,PS6d,9,0.4019,3.6
HW077,WP8,PS6d,12,0.4326,3.6
HW079,MP10,PS9d,0,0.4589,3.8
HW079,MP10,PS9d,3,0.4367,3.8
HW079,MP10,PS9d,6,0.4169,3.8
HW079,MP10,PS9d,9,0.4452,3.8
HW079,MP10,PS9d,12,0.4652,3.8
HW080,MP10,PS9d,0,0.5048,3.9
HW080,MP10,PS9d,3,0.5061,3.9
HW080,MP10,PS9d,6,0.4753,3.9
HW080,MP10,PS9d,9,0.5609,3.9
HW080,MP10,PS9d,12,0.4543,3.9
HW081,BS03,PS12d,0,0.3368,3.5
HW081,BS03,PS12d,3,0.3747,3.5
HW081,BS03,PS12d,6,0.2974,3.5
HW081,BS03,PS12d,9,0.3779,3.5
HW081,BS03,PS12d,12,0.3768,3.5
HW084,WP8,PS12d,0,0.6332,4.15
HW084,WP8,PS12d,3,0.5631,4.15
HW084,WP8,PS12d,6,0.6588,4.15
HW084,WP8,PS12d,9,0.7513,4.15
HW084,WP8,PS12d,12,0.7643,4.15
HW085,BS05,PS12d,0,0.5001,3.9
HW085,BS05,PS12d,3,0.4128,3.9
HW085,BS05,PS12d,6,0.4794,3.9
HW085,BS05,PS12d,9,0.51,3.9
HW085,BS05,PS12d,12,0.4858,3.9
HW086,BS05,control,0,0.5058,4.15
HW086,BS05,control,3,0.5709,4.15
HW086,BS05,control,6,0.5851,4.15
HW086,BS05,control,9,0.6011,4.15
HW086,BS05,control,12,0.5999,4.15
HW087,BS05,NS3d,0,0.5435,4.1
HW087,BS05,NS3d,3,0.4081,4.1
HW087,BS05,NS3d,6,0.5321,4.1
HW087,BS05,NS3d,9,0.5983,4.1
HW087,BS05,NS3d,12,0.6357,4.1
HW089,BS05,PS3d,0,0.4028,3.85
HW089,BS05,PS3d,3,0.4141,3.85
HW089,BS05,PS3d,6,0.48,3.85
HW089,BS05,PS3d,9,0.4955,3.85
HW089,BS05,PS3d,12,0.494,3.85
HW090,BS05,NS3d,0,0.4154,3.8
HW090,BS05,NS3d,3,0.2769,3.8
HW090,BS05,NS3d,6,0.42,3.8
HW090,BS05,NS3d,9,0.4884,3.8
HW090,BS05,NS3d,12,0.4859,3.8
HW091,BS05,PS6d,0,0.4359,3.8
HW091,BS05,PS6d,3,0.3625,3.8
HW091,BS05,PS6d,6,0.399,3.8
HW091,BS05,PS6d,9,0.3793,3.8
HW091,BS05,PS6d,12,0.457,3.8
HW092,BS05,NS3d,0,0.3954,3.75
HW092,BS05,NS3d,3,0.4152,3.75
HW092,BS05,NS3d,6,0.3765,3.75
HW092,BS05,NS3d,9,0.404,3.75
HW092,BS05,NS3d,12,0.4618,3.75
HW094,BS05,PS9d,0,0.3941,3.8
HW094,BS05,PS9d,3,0.3759,3.8
HW094,BS05,PS9d,6,0.4258,3.8
HW094,BS05,PS9d,9,0.4142,3.8
HW094,BS05,PS9d,12,0.4057,3.8
HW095,BS05,PS12d,0,0.4414,3.65
HW095,BS05,PS12d,3,0.3867,3.65
HW095,BS05,PS12d,6,0.4511,3.65
HW095,BS05,PS12d,9,0.4551,3.65
HW095,BS05,PS12d,12,0.4397,3.65
HW096,BS05,NS3d,0,0.429,3.7
HW096,BS05,NS3d,3,0.3559,3.7
HW096,BS05,NS3d,6,0.4905,3.7
HW096,BS05,NS3d,9,0.5182,3.7
HW096,BS05,NS3d,12,0.4843,3.7
HW097,BS05,control,0,0.442,3.8
HW097,BS05,control,3,0.455,3.8
HW097,BS05,control,6,0.5197,3.8
HW097,BS05,control,9,0.5096,3.8
HW097,BS05,control,12,0.5411,3.8
HW098,BS05,control,0,0.2802,3.8
HW098,BS05,control,3,0.287,3.8
HW098,BS05,control,6,0.3367,3.8
HW098,BS05,control,9,0.3212,3.8
HW098,BS05,control,12,0.2758,3.8
HW099,BS05,control,0,0.3474,3.65
HW099,BS05,control,3,0.4113,3.65
HW099,BS05,control,6,0.3957,3.65
HW099,BS05,control,9,0.351,3.65
HW099,BS05,control,12,0.4151,3.65
HW100,BS05,PS3d,0,0.4816,3.8
HW100,BS05,PS3d,3,0.4291,3.8
HW100,BS05,PS3d,6,0.5073,3.8
HW100,BS05,PS3d,9,0.5147,3.8
HW100,BS05,PS3d,12,0.4654,3.8
HW101,BS05,PS6d,0,0.4875,4
HW101,BS05,PS6d,3,0.5413,4
HW101,BS05,PS6d,6,0.585,4
HW101,BS05,PS6d,9,0.6158,4
HW101,BS05,PS6d,12,0.6484,4
HW102,BS05,NS9d,0,0.5038,3.9
HW102,BS05,NS9d,3,0.3812,3.9
HW102,BS05,NS9d,6,0.3179,3.9
HW102,BS05,NS9d,9,0.3644,3.9
HW102,BS05,NS9d,12,0.5571,3.9
HW103,BS05,PS9d,0,0.2941,3.3
HW103,BS05,PS9d,3,0.2914,3.3
HW103,BS05,PS9d,6,0.3271,3.3
HW103,BS05,PS9d,9,0.2812,3.3
HW103,BS05,PS9d,12,0.2764,3.3
HW105,BS05,PS3d,0,0.4328,3.7
HW105,BS05,PS3d,3,0.4288,3.7
HW105,BS05,PS3d,6,0.4533,3.7
HW105,BS05,PS3d,9,0.5024,3.7
HW105,BS05,PS3d,12,0.5217,3.7
HW106,BS05,PS6d,0,0.3188,3.4
HW106,BS05,PS6d,3,0.2491,3.4
HW106,BS05,PS6d,6,0.3509,3.4
HW106,BS05,PS6d,9,0.3379,3.4
HW106,BS05,PS6d,12,0.3659,3.4
HW108,BS05,PS9d,0,0.2754,3.3
HW108,BS05,PS9d,3,0.2795,3.3
HW108,BS05,PS9d,6,0.2772,3.3
HW108,BS05,PS9d,9,0.3184,3.3
HW108,BS05,PS9d,12,0.3013,3.3
HW109,BS05,PS12d,0,0.4251,3.6
HW109,BS05,PS12d,3,0.3827,3.6
HW109,BS05,PS12d,6,0.38,3.6
HW109,BS05,PS12d,9,0.3624,3.6
HW109,BS05,PS12d,12,0.4014,3.6
HW110,BS05,PS3d,0,0.4101,3.7
HW110,BS05,PS3d,3,0.4581,3.7
HW110,BS05,PS3d,6,0.4631,3.7
HW110,BS05,PS3d,9,0.4865,3.7
HW110,BS05,PS3d,12,0.5153,3.7
HW113,BS05,PS6d,0,0.2746,3.15
HW113,BS05,PS6d,3,0.2482,3.15
HW113,BS05,PS6d,6,0.2837,3.15
HW113,BS05,PS6d,9,0.2821,3.15
HW113,BS05,PS6d,12,0.2524,3.15
HW116,BS05,PS9d,0,0.4587,3.7
HW116,BS05,PS9d,3,0.4394,3.7
HW116,BS05,PS9d,6,0.4404,3.7
HW116,BS05,PS9d,9,0.4417,3.7
HW116,BS05,PS9d,12,0.436,3.7
