SampleID,Colony,Treatment,timepoint,died,WingAvgmm,StartWt
HW084,WP8,PS12d,9,0,4.15,0.6332
HW084,WP8,PS12d,12,0,4.15,0.6332
HW085,ABS05,PS12d,0,0,3.9,0.5001
HW085,ABS05,PS12d,3,0,3.9,0.5001
HW085,ABS05,PS12d,6,0,3.9,0.5001
HW085,ABS05,PS12d,9,0,3.9,0.5001
HW085,ABS05,PS12d,12,0,3.9,0.5001
HW086,ABS05,control,0,0,4.15,0.5058
HW086,ABS05,control,3,0,4.15,0.5058
HW086,ABS05,control,6,0,4.15,0.5058
HW086,ABS05,control,9,0,4.15,0.5058
HW086,ABS05,control,12,0,4.15,0.5058
HW087,ABS05,NS3d,0,0,4.1,0.5435
HW087,ABS05,NS3d,3,0,4.1,0.5435
HW087,ABS05,NS3d,6,0,4.1,0.5435
HW087,ABS05,NS3d,9,0,4.1,0.5435
HW087,ABS05,NS3d,12,0,4.1,0.5435
HW088,ABS05,NS6d,0,0,3.9,0.4999
HW088,ABS05,NS6d,3,0,3.9,0.4999
HW088,ABS05,NS6d,6,0,3.9,0.4999
HW088,ABS05,NS6d,9,1,3.9,0.4999
HW088,ABS05,NS6d,12,1,3.9,0.4999
HW089,ABS05,PS3d,0,0,3.85,0.4028
HW089,ABS05,PS3d,3,0,3.85,0.4028
HW089,ABS05,PS3d,6,0,3.85,0.4028
HW089,ABS05,PS3d,9,0,3.85,0.4028
HW089,ABS05,PS3d,12,0,3.85,0.4028
HW090,ABS05,NS3d,0,0,3.8,0.4154
HW090,ABS05,NS3d,3,0,3.8,0.4154
HW090,ABS05,NS3d,6,0,3.8,0.4154
HW090,ABS05,NS3d,9,0,3.8,0.4154
HW090,ABS05,NS3d,12,0,3.8,0.4154
HW091,ABS05,PS6d,0,0,3.8,0.4359
HW091,ABS05,PS6d,3,0,3.8,0.4359
HW091,ABS05,PS6d,6,0,3.8,0.4359
HW091,ABS05,PS6d,9,0,3.8,0.4359
HW091,ABS05,PS6d,12,0,3.8,0.4359
HW092,ABS05,NS3d,0,0,3.75,0.3954
HW092,ABS05,NS3d,3,0,3.75,0.3954
HW092,ABS05,NS3d,6,0,3.75,0.3954
HW092,ABS05,NS3d,9,0,3.75,0.3954
HW092,ABS05,NS3d,12,0,3.75,0.3954
HW093,ABS05,NS9d,0,0,4,0.4011
HW093,ABS05,NS9d,3,0,4,0.4011
HW093,ABS05,NS9d,6,1,4,0.4011
HW093,ABS05,NS9d,9,1,4,0.4011
HW093,ABS05,NS9d,12,1,4,0.4011
HW094,ABS05,PS9d,0,0,3.8,0.3941
HW094,ABS05,PS9d,3,0,3.8,0.3941
HW094,ABS05,PS9d,6,0,3.8,0.3941
HW094,ABS05,PS9d,9,0,3.8,0.3941
HW094,ABS05,PS9d,12,0,3.8,0.3941
HW095,ABS05,PS12d,0,0,3.65,0.4414
HW095,ABS05,PS12d,3,0,3.65,0.4414
HW095,ABS05,PS12d,6,0,3.65,0.4414
HW095,ABS05,PS12d,9,0,3.65,0.4414
HW095,ABS05,PS12d,12,0,3.65,0.4414
HW096,ABS05,NS3d,0,0,3.7,0.429
HW096,ABS05,NS3d,3,0,3.7,0.429
HW096,ABS05,NS3d,6,0,3.7,0.429
HW096,ABS05,NS3d,9,0,3.7,0.429
HW096,ABS05,NS3d,12,0,3.7,0.429
HW097,ABS05,control,0,0,3.8,0.442
HW097,ABS05,control,3,0,3.8,0.442
HW097,ABS05,control,6,0,3.8,0.442
HW097,ABS05,control,9,0,3.8,0.442
HW097,ABS05,control,12,0,3.8,0.442
HW098,ABS05,control,0,0,3.8,0.2802
HW098,ABS05,control,3,0,3.8,0.2802
HW098,ABS05,control,6,0,3.8,0.2802
HW098,ABS05,control,9,0,3.8,0.2802
HW098,ABS05,control,12,0,3.8,0.2802
HW099,ABS05,control,0,0,3.65,0.3474
HW099,ABS05,control,3,0,3.65,0.3474
HW099,ABS05,control,6,0,3.65,0.3474
